sequence_id,model,cross_entropy,perplexity
seq0146,baseline,1.3890376,4.010988
seq0147,baseline,1.3791612,3.9715688
seq0148,baseline,1.3859603,3.9986644
seq0149,baseline,1.3768659,3.9624631
seq0150,baseline,1.3801093,3.9753363
seq0151,baseline,1.3898847,4.014387
seq0152,baseline,1.3873669,4.0042925
seq0153,baseline,1.3785661,3.9692063
seq0154,baseline,1.3752716,3.956151
seq0155,baseline,1.3780551,3.9671783
seq0156,baseline,1.387335,4.004164
seq0157,baseline,1.3917778,4.0219936
seq0158,baseline,1.3780792,3.9672737
seq0159,baseline,1.3785222,3.9690318
seq0160,baseline,1.3838253,3.990136
seq0161,baseline,1.3932873,4.02807
seq0162,baseline,1.3822547,3.983874
seq0163,baseline,1.3803326,3.976224
seq0164,baseline,1.3829607,3.9866874
seq0165,baseline,1.3966773,4.041748
seq0166,baseline,1.3784624,3.9687946
seq0167,baseline,1.3928399,4.026268
seq0168,baseline,1.3728455,3.9465647
seq0169,baseline,1.3984358,4.048862
seq0170,baseline,1.3804679,3.9767618
seq0171,baseline,1.3862771,3.9999309
seq0172,baseline,1.3874009,4.0044284
seq0173,baseline,1.3794032,3.9725304
seq0174,baseline,1.3878888,4.0063825
seq0175,baseline,1.380873,3.978373
seq0176,baseline,1.3867965,4.002009
seq0177,baseline,1.3887045,4.0096526
seq0178,baseline,1.383363,3.9882915
seq0179,baseline,1.3886049,4.0092525
seq0180,baseline,1.3821818,3.9835835
seq0181,baseline,1.3844742,3.9927256
seq0182,baseline,1.390142,4.0154204
seq0183,baseline,1.3789281,3.9706428
seq0184,baseline,1.3863674,4.0002923
seq0185,baseline,1.3822966,3.9840405
seq0186,baseline,1.3863131,4.000075
seq0187,baseline,1.3910671,4.019137
seq0188,baseline,1.3826151,3.98531
seq0189,baseline,1.3889977,4.0108275
seq0190,baseline,1.3765366,3.961159
seq0191,baseline,1.3841653,3.9914925
seq0192,baseline,1.3809611,3.9787238
seq0193,baseline,1.3864369,4.0005703
seq0194,baseline,1.3761996,3.959824
seq0195,baseline,1.3958719,4.038494
seq0196,baseline,1.387849,4.0062237
seq0197,baseline,1.3853925,3.9963944
seq0198,baseline,1.3859224,3.9985125
seq0199,baseline,1.3913398,4.0202327
seq0200,baseline,1.3803319,3.9762208
seq0201,baseline,1.3838285,3.9901485
seq0202,baseline,1.3899837,4.0147843
seq0203,baseline,1.3865198,4.000902
seq0204,baseline,1.3880181,4.0069013
seq0205,baseline,1.3922917,4.024061
seq0206,baseline,1.3887445,4.0098124
seq0207,baseline,1.3799595,3.9747405
seq0208,baseline,1.3871562,4.003449
seq0209,baseline,1.394773,4.0340586
seq0210,baseline,1.3914934,4.0208507
seq0211,baseline,1.3830453,3.987025
seq0212,baseline,1.3924932,4.024873
seq0213,baseline,1.3849273,3.9945357
seq0214,baseline,1.3830771,3.9871519
seq0215,baseline,1.3854281,3.9965363
seq0216,baseline,1.3835858,3.9891806
seq0217,baseline,1.3778707,3.9664466
seq0218,baseline,1.381718,3.9817367
seq0219,baseline,1.3879933,4.006802
seq0220,baseline,1.3851122,3.9952738
seq0221,baseline,1.3872415,4.0037904
seq0222,baseline,1.3854693,3.9967012
seq0223,baseline,1.3893399,4.012201
seq0224,baseline,1.3811467,3.9794621
seq0225,baseline,1.3846369,3.9933758
seq0226,baseline,1.3800881,3.975252
seq0227,baseline,1.3842585,3.991865
seq0228,baseline,1.389009,4.010873
seq0229,baseline,1.3842511,3.9918354
seq0230,baseline,1.3801541,3.9755144
seq0231,baseline,1.3878502,4.006228
seq0232,baseline,1.377633,3.965504
seq0233,baseline,1.3811597,3.9795136
seq0234,baseline,1.3884295,4.0085497
seq0235,baseline,1.3849438,3.9946015
seq0236,baseline,1.3872447,4.0038033
seq0237,baseline,1.3827363,3.9857934
seq0238,baseline,1.4027054,4.066186
seq0239,baseline,1.3782463,3.967937
seq0240,baseline,1.3880999,4.007229
seq0241,baseline,1.3804984,3.9768834
seq0242,baseline,1.3898349,4.014187
seq0243,baseline,1.3818071,3.9820912
seq0244,baseline,1.3870777,4.0031343
seq0245,baseline,1.3803139,3.9761496
seq0246,baseline,1.3878583,4.0062604
seq0247,baseline,1.3886886,4.0095882
seq0248,baseline,1.3857918,3.9979901
seq0249,baseline,1.3787519,3.9699438
seq0250,baseline,1.3890599,4.0110774
seq0251,baseline,1.3740845,3.9514573
seq0252,baseline,1.3898287,4.014162
seq0253,baseline,1.384998,3.9948177
seq0254,baseline,1.3813629,3.9803228
seq0255,baseline,1.3827088,3.9856832
seq0256,baseline,1.386845,4.002203
seq0257,baseline,1.3839619,3.990681
seq0258,baseline,1.3837708,3.9899187
seq0259,baseline,1.3851149,3.9952846
seq0260,baseline,1.3786644,3.9695961
seq0261,baseline,1.3936226,4.0294204
seq0262,baseline,1.3807662,3.977948
seq0263,baseline,1.383249,3.9878376
seq0264,baseline,1.3984812,4.049046
seq0265,baseline,1.3818266,3.9821692
seq0266,baseline,1.3859382,3.9985757
seq0267,baseline,1.3839632,3.9906862
seq0268,baseline,1.3939388,4.030695
seq0269,baseline,1.3836132,3.9892898
seq0270,baseline,1.3850372,3.9949746
seq0271,baseline,1.3845285,3.9929426
seq0272,baseline,1.3880471,4.007017
seq0273,baseline,1.38263,3.9853694
seq0274,baseline,1.3862128,3.9996736
seq0275,baseline,1.3848075,3.9940567
seq0276,baseline,1.3902154,4.015715
seq0277,baseline,1.3743297,3.9524264
seq0278,baseline,1.388288,4.0079827
seq0279,baseline,1.3857294,3.9977407
seq0280,baseline,1.3878653,4.0062885
seq0281,baseline,1.3822559,3.9838789
seq0282,baseline,1.3765506,3.961214
seq0283,baseline,1.3761369,3.9595761
seq0284,baseline,1.3826047,3.9852688
seq0285,baseline,1.3926715,4.02559
seq0286,baseline,1.3813258,3.9801753
seq0287,baseline,1.3862172,3.9996917
seq0288,baseline,1.3938848,4.030477
seq0289,baseline,1.3934948,4.0289063
seq0290,baseline,1.3827671,3.9859154
seq0291,baseline,1.3948172,4.0342374
seq0292,baseline,1.392817,4.026176
seq0293,baseline,1.3856009,3.9972272
seq0294,baseline,1.3819243,3.9825575
seq0295,baseline,1.3803773,3.9764018
seq0296,baseline,1.3902491,4.0158505
seq0297,baseline,1.3863556,4.000245
seq0298,baseline,1.3812219,3.9797614
seq0299,baseline,1.3858103,3.9980638
seq0300,baseline,1.3895518,4.013051
seq0301,baseline,1.3834465,3.9886246
seq0302,baseline,1.3908447,4.018243
seq0303,baseline,1.3829142,3.986502
seq0304,baseline,1.3915805,4.0212007
seq0305,baseline,1.386277,3.9999304
seq0306,baseline,1.3821533,3.9834702
seq0307,baseline,1.385583,3.997156
seq0308,baseline,1.3862926,3.9999928
seq0309,baseline,1.3945005,4.0329595
seq0310,baseline,1.3925191,4.0249767
seq0311,baseline,1.3806124,3.9773364
seq0312,baseline,1.3869696,4.0027018
seq0313,baseline,1.3930508,4.0271173
seq0314,baseline,1.3877941,4.006004
seq0315,baseline,1.3950983,4.0353713
seq0316,baseline,1.3763151,3.9602814
seq0317,baseline,1.3808484,3.9782755
seq0318,baseline,1.388649,4.0094295
seq0319,baseline,1.373632,3.9496698
seq0320,baseline,1.3930928,4.0272865
seq0321,baseline,1.3864478,4.0006137
seq0322,baseline,1.382269,3.9839308
seq0323,baseline,1.3895658,4.0131073
seq0324,baseline,1.3849688,3.994701
seq0325,baseline,1.3844478,3.992621
seq0326,baseline,1.3911524,4.0194793
seq0327,baseline,1.3749866,3.9550238
seq0328,baseline,1.3921441,4.023467
seq0329,baseline,1.3796947,3.9736884
seq0330,baseline,1.401024,4.059355
seq0331,baseline,1.3784473,3.9687345
seq0332,baseline,1.4042035,4.072282
seq0333,baseline,1.3831936,3.987616
seq0334,baseline,1.3858633,3.998276
seq0335,baseline,1.387847,4.006215
seq0336,baseline,1.3903817,4.0163827
seq0337,baseline,1.3786215,3.9694257
seq0338,baseline,1.3830416,3.98701
seq0339,baseline,1.3900536,4.015065
seq0340,baseline,1.3853787,3.9963388
seq0341,baseline,1.3827199,3.9857278
seq0342,baseline,1.3757523,3.9580536
seq0343,baseline,1.3821872,3.9836051
seq0344,baseline,1.378589,3.9692972
seq0345,baseline,1.392372,4.024385
seq0346,baseline,1.3832805,3.9879627
seq0347,baseline,1.3807442,3.977861
seq0348,baseline,1.3749784,3.954991
seq0349,baseline,1.3836504,3.9894383
seq0350,baseline,1.3952895,4.036143
seq0351,baseline,1.388403,4.0084434
seq0352,baseline,1.3878614,4.006273
seq0353,baseline,1.386711,4.001667
seq0354,baseline,1.3862023,3.9996316
seq0355,baseline,1.3884385,4.0085855
seq0356,baseline,1.3825386,3.985005
seq0357,baseline,1.390761,4.017906
seq0358,baseline,1.3840517,3.9910393
seq0359,baseline,1.375078,3.9553852
seq0360,baseline,1.3834648,3.9886978
seq0361,baseline,1.3925629,4.0251527
seq0362,baseline,1.3949103,4.0346127
seq0363,baseline,1.3848807,3.9943495
seq0364,baseline,1.3850507,3.9950285
seq0365,baseline,1.3862032,3.9996352
seq0366,baseline,1.3921723,4.023581
seq0367,baseline,1.3884028,4.008443
seq0368,baseline,1.3811835,3.9796088
seq0369,baseline,1.3857261,3.9977276
seq0370,baseline,1.3822529,3.983867
seq0371,baseline,1.3791751,3.971624
seq0372,baseline,1.378003,3.9669716
seq0373,baseline,1.3896637,4.0135
seq0374,baseline,1.3802594,3.9759326
seq0375,baseline,1.3823696,3.984332
seq0376,baseline,1.3731087,3.9476037
seq0377,baseline,1.3779795,3.9668787
seq0378,baseline,1.3851298,3.9953446
seq0379,baseline,1.3867375,4.001773
seq0380,baseline,1.3933532,4.028335
seq0381,baseline,1.3736296,3.94966
seq0382,baseline,1.3882152,4.0076904
seq0383,baseline,1.3871721,4.0035124
seq0384,baseline,1.3863016,4.000029
seq0385,baseline,1.3894157,4.012505
seq0386,baseline,1.3939998,4.030941
seq0387,baseline,1.3825513,3.9850557
seq0388,baseline,1.3812717,3.9799597
seq0389,baseline,1.3882166,4.0076966
seq0390,baseline,1.3867267,4.00173
seq0391,baseline,1.3813285,3.9801857
seq0392,baseline,1.3794032,3.9725304
seq0393,baseline,1.3822951,3.9840348
seq0394,baseline,1.3838261,3.9901392
seq0395,baseline,1.3812897,3.9800317
seq0396,baseline,1.3883042,4.0080476
seq0397,baseline,1.3849528,3.994637
seq0398,baseline,1.383213,3.9876938
seq0399,baseline,1.3765188,3.9610887
seq0400,baseline,1.3812182,3.9797468
seq0401,baseline,1.3922169,4.0237603
seq0402,baseline,1.3876306,4.0053487
seq0403,baseline,1.3865207,4.0009055
seq0404,baseline,1.3801448,3.9754777
seq0405,baseline,1.3839622,3.9906821
seq0406,baseline,1.3815612,3.9811122
seq0407,baseline,1.3844628,3.9926805
seq0408,baseline,1.3777336,3.965903
seq0409,baseline,1.3851839,3.9955606
seq0410,baseline,1.389317,4.0121093
seq0411,baseline,1.3882691,4.0079064
seq0412,baseline,1.3855655,3.9970856
seq0413,baseline,1.3796787,3.9736247
seq0414,baseline,1.3862504,3.999824
seq0415,baseline,1.3850172,3.9948945
seq0416,baseline,1.3864403,4.0005836
seq0417,baseline,1.3767377,3.9619555
seq0418,baseline,1.3706292,3.9378278
seq0419,baseline,1.3825496,3.985049
seq0420,baseline,1.379533,3.973046
seq0421,baseline,1.3806168,3.977354
seq0422,baseline,1.3822955,3.9840364
seq0423,baseline,1.396837,4.042393
seq0424,baseline,1.3843805,3.992352
seq0425,baseline,1.3801432,3.975471
seq0426,baseline,1.3819095,3.9824986
seq0427,baseline,1.3811511,3.9794793
seq0428,baseline,1.3868474,4.0022125
seq0429,baseline,1.3896945,4.013623
seq0430,baseline,1.3873458,4.004208
seq0431,baseline,1.3830501,3.9870439
seq0432,baseline,1.3723506,3.9446118
seq0433,baseline,1.3985486,4.0493183
seq0434,baseline,1.3879739,4.0067234
seq0435,baseline,1.3843876,3.9923804
seq0436,baseline,1.3868653,4.002284
seq0437,baseline,1.3842223,3.9917204
seq0438,baseline,1.3875556,4.0050483
seq0439,baseline,1.3807328,3.9778152
seq0440,baseline,1.3913684,4.0203476
seq0441,baseline,1.381473,3.9807606
seq0442,baseline,1.3888212,4.0101204
seq0443,baseline,1.37928,3.9720407
seq0444,baseline,1.3900633,4.015104
seq0445,baseline,1.3991356,4.0516963
seq0446,baseline,1.3837124,3.9896855
seq0447,baseline,1.3884317,4.0085588
seq0448,baseline,1.3829862,3.9867892
seq0449,baseline,1.3816811,3.9815896
seq0450,baseline,1.3782989,3.9681454
seq0451,baseline,1.3975973,4.0454683
seq0452,baseline,1.3826499,3.9854488
seq0453,baseline,1.3815585,3.9811013
seq0454,baseline,1.3862064,3.9996483
seq0455,baseline,1.3802203,3.9757771
seq0456,baseline,1.3863937,4.0003977
seq0457,baseline,1.3870387,4.0029783
seq0458,baseline,1.3838686,3.9903088
seq0459,baseline,1.3890929,4.01121
seq0460,baseline,1.3928914,4.026475
seq0461,baseline,1.3791977,3.9717138
seq0462,baseline,1.3884728,4.0087233
seq0463,baseline,1.38921,4.011679
seq0464,baseline,1.3851246,3.9953237
seq0465,baseline,1.382724,3.985744
seq0466,baseline,1.3823564,3.984279
seq0467,baseline,1.3854021,3.9964325
seq0468,baseline,1.3840889,3.9911878
seq0469,baseline,1.3784481,3.9687378
seq0470,baseline,1.3939015,4.0305448
seq0471,baseline,1.3839563,3.9906585
seq0472,baseline,1.3903983,4.016449
seq0473,baseline,1.3880644,4.0070868
seq0474,baseline,1.3820479,3.98305
seq0475,baseline,1.3844286,3.992544
seq0476,baseline,1.3865201,4.0009036
seq0477,baseline,1.3889972,4.0108256
seq0478,baseline,1.3866754,4.0015244
seq0479,baseline,1.3753676,3.956531
seq0480,baseline,1.3887707,4.0099177
seq0481,baseline,1.377913,3.9666145
seq0482,baseline,1.3810843,3.9792142
seq0483,baseline,1.3912089,4.0197067
seq0484,baseline,1.3834372,3.9885879
seq0485,baseline,1.3809522,3.9786887
seq0486,baseline,1.3788817,3.9704592
seq0487,baseline,1.388839,4.0101914
seq0488,baseline,1.394156,4.0315704
seq0489,baseline,1.394942,4.034741
seq0490,baseline,1.3773894,3.964538
seq0491,baseline,1.388905,4.010456
seq0492,baseline,1.3914458,4.020659
seq0493,baseline,1.3862158,3.9996858
seq0494,baseline,1.3847151,3.9936879
seq0495,baseline,1.3896145,4.0133023
seq0496,baseline,1.3815243,3.9809654
seq0497,baseline,1.3840467,3.991019
seq0498,baseline,1.3777876,3.9661174
seq0499,baseline,1.3927945,4.0260854
seq0500,baseline,1.3908324,4.0181932
seq0501,baseline,1.3779781,3.9668727
seq0502,baseline,1.3905455,4.0170407
seq0503,baseline,1.39583,4.0383253
seq0504,baseline,1.386496,4.0008063
seq0505,baseline,1.3890381,4.01099
seq0506,baseline,1.3900708,4.0151343
seq0507,baseline,1.3804333,3.9766245
seq0508,baseline,1.3843956,3.992412
seq0509,baseline,1.3792645,3.971979
seq0510,baseline,1.3877649,4.0058866
seq0511,baseline,1.3839078,3.9904652
seq0512,baseline,1.3703711,3.9368117
seq0513,baseline,1.3841933,3.9916046
seq0514,baseline,1.3940103,4.0309834
seq0515,baseline,1.3891596,4.011477
seq0516,baseline,1.3704351,3.9370635
seq0517,baseline,1.3762634,3.9600766
seq0518,baseline,1.3867754,4.0019245
seq0519,baseline,1.3935969,4.0293174
seq0520,baseline,1.3843744,3.9923277
seq0521,baseline,1.3915092,4.0209136
seq0522,baseline,1.3856301,3.997344
seq0523,baseline,1.3815873,3.9812162
seq0524,baseline,1.3826679,3.9855201
seq0525,baseline,1.3878953,4.0064087
seq0526,baseline,1.3838543,3.9902515
seq0527,baseline,1.3896152,4.0133057
seq0528,baseline,1.391062,4.0191164
seq0529,baseline,1.3868939,4.002399
seq0530,baseline,1.3842299,3.9917507
seq0531,baseline,1.3785139,3.9689994
seq0532,baseline,1.3842071,3.9916599
seq0533,baseline,1.3779086,3.9665968
seq0534,baseline,1.389785,4.013987
seq0535,baseline,1.3849784,3.9947395
seq0536,baseline,1.3834628,3.98869
seq0537,baseline,1.3858927,3.998394
seq0538,baseline,1.3840827,3.9911628
seq0539,baseline,1.3818939,3.9824364
seq0540,baseline,1.3863075,4.0000525
seq0541,baseline,1.372824,3.9464796
seq0542,baseline,1.3819029,3.9824727
seq0543,baseline,1.3862156,3.999685
seq0544,baseline,1.3953418,4.0363536
seq0545,baseline,1.3851839,3.9955606
seq0546,baseline,1.3844151,3.99249
seq0547,baseline,1.3730257,3.9472756
seq0548,baseline,1.3829324,3.986575
seq0549,baseline,1.3824804,3.9847734
seq0550,baseline,1.3836999,3.9896355
seq0551,baseline,1.3798509,3.974309
seq0552,baseline,1.3897289,4.013762
seq0553,baseline,1.3814311,3.9805942
seq0554,baseline,1.3885008,4.0088353
seq0555,baseline,1.37585,3.95844
seq0556,baseline,1.3905782,4.0171723
seq0557,baseline,1.3858978,3.998414
seq0558,baseline,1.3892021,4.0116477
seq0559,baseline,1.3790524,3.971137
seq0560,baseline,1.38587,3.998303
seq0561,baseline,1.3834449,3.9886186
seq0562,baseline,1.3810114,3.9789238
seq0563,baseline,1.3850864,3.9951713
seq0564,baseline,1.3787209,3.9698203
seq0565,baseline,1.3926945,4.0256824
seq0566,baseline,1.3950377,4.0351267
seq0567,baseline,1.3838475,3.9902246
seq0568,baseline,1.3833876,3.98839
seq0569,baseline,1.3779613,3.9668062
seq0570,baseline,1.3861444,3.9994001
seq0571,baseline,1.3831444,3.98742
seq0572,baseline,1.389755,4.013867
seq0573,baseline,1.3830501,3.9870439
seq0574,baseline,1.3944484,4.032749
seq0575,baseline,1.3783851,3.9684877
seq0576,baseline,1.3824387,3.984607
seq0577,baseline,1.3771127,3.9634416
seq0578,baseline,1.3856484,3.997417
seq0579,baseline,1.3818351,3.9822025
seq0580,baseline,1.3860955,3.9992049
seq0581,baseline,1.381528,3.98098
seq0582,baseline,1.3856666,3.99749
seq0583,baseline,1.379406,3.972541
seq0584,baseline,1.3768592,3.962437
seq0585,baseline,1.4004763,4.0571322
seq0586,baseline,1.3868426,4.0021935
seq0587,baseline,1.3782915,3.9681163
seq0588,baseline,1.3735673,3.9494145
seq0589,baseline,1.3916626,4.0215306
seq0590,baseline,1.3810003,3.9788797
seq0591,baseline,1.3914621,4.0207243
seq0592,baseline,1.3768592,3.962437
seq0593,baseline,1.3820732,3.9831507
seq0594,baseline,1.3975636,4.045332
seq0595,baseline,1.3789282,3.9706438
seq0596,baseline,1.380164,3.9755538
seq0597,baseline,1.3804003,3.9764931
seq0598,baseline,1.3819982,3.9828525
seq0599,baseline,1.388981,4.0107613
seq0600,baseline,1.381923,3.9825525
seq0601,baseline,1.3948308,4.034292
seq0602,baseline,1.3758022,3.9582503
seq0603,baseline,1.3880434,4.0070024
seq0604,baseline,1.3829918,3.9868116
seq0605,baseline,1.3870285,4.0029373
seq0606,baseline,1.3810748,3.9791763
seq0607,baseline,1.3943691,4.0324297
seq0608,baseline,1.3913404,4.020235
seq0609,baseline,1.3739017,3.9507356
seq0610,baseline,1.3974468,4.044859
seq0611,baseline,1.3798074,3.9741356
seq0612,baseline,1.3878926,4.006398
seq0613,baseline,1.3823545,3.9842715
seq0614,baseline,1.3814776,3.9807794
seq0615,baseline,1.3758087,3.958277
seq0616,baseline,1.3775028,3.964988
seq0617,baseline,1.399303,4.0523744
seq0618,baseline,1.3870866,4.0031705
seq0619,baseline,1.3859582,3.9986558
seq0620,baseline,1.3841537,3.9914467
seq0621,baseline,1.3860244,3.9989202
seq0622,baseline,1.3861752,3.9995234
seq0623,baseline,1.3910556,4.01909
seq0624,baseline,1.3868742,4.0023203
seq0625,baseline,1.380453,3.9767027
seq0626,baseline,1.3674145,3.9251888
seq0627,baseline,1.3780466,3.9671447
seq0628,baseline,1.3809896,3.978837
seq0629,baseline,1.3842118,3.9916782
seq0630,baseline,1.3857241,3.9977193
seq0631,baseline,1.3840474,3.991022
seq0632,baseline,1.3876214,4.005312
seq0633,baseline,1.395942,4.0387774
seq0634,baseline,1.3845125,3.992879
seq0635,baseline,1.3854315,3.99655
seq0636,baseline,1.3806405,3.9774485
seq0637,baseline,1.3925529,4.025112
seq0638,baseline,1.3840572,3.9910614
seq0639,baseline,1.3841467,3.9914186
seq0640,baseline,1.3925412,4.025066
seq0641,baseline,1.3880552,4.0070496
seq0642,baseline,1.3833972,3.9884284
seq0643,baseline,1.3844646,3.9926875
seq0644,baseline,1.3862673,3.999892
seq0645,baseline,1.381794,3.9820387
seq0646,baseline,1.3739434,3.9509003
seq0647,baseline,1.3865168,4.00089
seq0648,baseline,1.3794754,3.9728167
seq0649,baseline,1.3942683,4.0320234
seq0650,baseline,1.3901191,4.0153284
seq0651,baseline,1.3803048,3.9761136
seq0652,baseline,1.3787105,3.9697793
seq0653,baseline,1.38967,4.0135255
seq0654,baseline,1.3891163,4.0113034
seq0655,baseline,1.3849291,3.9945426
seq0656,baseline,1.3886255,4.0093355
seq0657,baseline,1.3853326,3.9961545
seq0658,baseline,1.3873101,4.004065
seq0659,baseline,1.3899804,4.0147715
seq0660,baseline,1.3878667,4.0062943
seq0661,baseline,1.3898402,4.014209
seq0662,baseline,1.3766756,3.9617095
seq0663,baseline,1.3981436,4.0476794
seq0664,baseline,1.3791188,3.9714005
seq0665,baseline,1.3695492,3.9335768
seq0666,baseline,1.3827606,3.9858902
seq0667,baseline,1.3881744,4.0075274
seq0668,baseline,1.3892934,4.0120144
seq0669,baseline,1.3914542,4.0206923
seq0670,baseline,1.375572,3.9573398
seq0671,baseline,1.384742,3.9937956
seq0672,baseline,1.3860909,3.999186
seq0673,baseline,1.3898795,4.014366
seq0674,baseline,1.3819435,3.9826343
seq0675,baseline,1.3857244,3.997721
seq0676,baseline,1.3799366,3.9746494
seq0677,baseline,1.3833107,3.9880834
seq0678,baseline,1.3899488,4.0146446
